algorithm,user_id,rank,item_id,score
UserCF,1,1,75,0.8812897939137888
UserCF,1,2,90,0.7839294320323095
UserCF,1,3,88,0.7675107385654633
UserCF,1,4,44,0.6951047721650803
UserCF,1,5,23,0.5984176315558091
UserCF,1,6,51,0.5818888138592825
UserCF,1,7,20,0.5426767261187332
UserCF,1,8,43,0.49681752990013445
UserCF,1,9,49,0.46697686624052676
UserCF,1,10,34,0.4492500992374218
UserCF,2,1,58,0.7898021788130744
UserCF,2,2,91,0.7888740225310865
UserCF,2,3,20,0.7005200435993483
UserCF,2,4,72,0.682579373058306
UserCF,2,5,60,0.6592074683500617
UserCF,2,6,77,0.6427354229331568
UserCF,2,7,92,0.6037287703813369
UserCF,2,8,63,0.599299476407817
UserCF,2,9,43,0.5989507524710599
UserCF,2,10,83,0.5928276545349306
UserCF,3,1,93,0.875983111421364
UserCF,3,2,59,0.7773747414513225
UserCF,3,3,42,0.6061479014348817
UserCF,3,4,44,0.5000551881474513
UserCF,3,5,10,0.4852652779270108
UserCF,3,6,37,0.4425458614642492
UserCF,3,7,12,0.40205929623185915
UserCF,3,8,100,0.39924621588617765
UserCF,3,9,33,0.38349986825269594
UserCF,3,10,3,0.38142629320069454
UserCF,4,1,6,0.7828393309162978
UserCF,4,2,29,0.6389687863449187
UserCF,4,3,32,0.5931135572059099
UserCF,4,4,69,0.527058894722415
UserCF,4,5,42,0.5237793273964172
UserCF,4,6,14,0.5049907230199742
UserCF,4,7,47,0.4952542806007557
UserCF,4,8,52,0.4952332897368674
UserCF,4,9,63,0.43023069411626685
UserCF,4,10,18,0.4174192905921444
UserCF,5,1,17,0.819504381956457
UserCF,5,2,20,0.7739868932045701
UserCF,5,3,14,0.6030334412017758
UserCF,5,4,69,0.5919872518829282
UserCF,5,5,36,0.541239682168649
UserCF,5,6,6,0.5343205188747698
UserCF,5,7,37,0.5234998631392469
UserCF,5,8,41,0.4998958530529044
UserCF,5,9,49,0.491587136268254
UserCF,5,10,24,0.40385069207413804
UserCF,6,1,69,0.7228437303750173
UserCF,6,2,25,0.6078094508645637
UserCF,6,3,14,0.5931487827517606
UserCF,6,4,35,0.5662000155172198
UserCF,6,5,50,0.4996178855782665
UserCF,6,6,85,0.49958976887781753
UserCF,6,7,44,0.4829896078911014
UserCF,6,8,57,0.43970052404120236
UserCF,6,9,31,0.412333781057236
UserCF,6,10,41,0.4040865386879339
UserCF,7,1,59,0.8442712200224198
UserCF,7,2,80,0.7088250183714424
UserCF,7,3,23,0.6104461502426634
UserCF,7,4,42,0.5865317020865669
UserCF,7,5,57,0.5840814486424069
UserCF,7,6,41,0.5018005592091686
UserCF,7,7,49,0.47941238087961224
UserCF,7,8,6,0.45961068498193275
UserCF,7,9,37,0.4061808796350961
UserCF,7,10,33,0.40182507864273137
UserCF,8,1,57,0.6363888439124149
UserCF,8,2,87,0.61195747826763
UserCF,8,3,14,0.585616649668608
UserCF,8,4,27,0.5737973973045382
UserCF,8,5,94,0.5677236625015303
UserCF,8,6,23,0.5358804203375025
UserCF,8,7,33,0.4981212857765469
UserCF,8,8,63,0.48502533290421573
UserCF,8,9,16,0.47347936325732126
UserCF,8,10,58,0.44101469670565246
UserCF,9,1,19,0.7971184680781384
UserCF,9,2,51,0.7810486861013177
UserCF,9,3,71,0.7101927871640968
UserCF,9,4,86,0.6613267277368239
UserCF,9,5,34,0.6225137974031153
UserCF,9,6,16,0.5708300862859127
UserCF,9,7,54,0.5037105921712238
UserCF,9,8,46,0.4075422184737691
UserCF,9,9,39,0.3971108829932171
UserCF,9,10,44,0.392345538534122
UserCF,10,1,53,0.7916134738158456
UserCF,10,2,28,0.7277845370731784
UserCF,10,3,84,0.6562245377776188
UserCF,10,4,32,0.5961700162825802
UserCF,10,5,35,0.5950353987725326
UserCF,10,6,6,0.5653167672585865
UserCF,10,7,21,0.49305340021215033
UserCF,10,8,47,0.47130077483211646
UserCF,10,9,40,0.4612685275033986
UserCF,10,10,14,0.41612088847576073
UserCF,11,1,68,0.8992267312940758
UserCF,11,2,20,0.7795841508458077
UserCF,11,3,43,0.6099852713146529
UserCF,11,4,32,0.5993737295736618
UserCF,11,5,47,0.579021591702962
UserCF,11,6,25,0.5332509637125805
UserCF,11,7,3,0.5073701556087842
UserCF,11,8,84,0.5014986154024248
UserCF,11,9,54,0.4956715800529061
UserCF,11,10,6,0.4230957623267635
UserCF,12,1,56,0.7788300861419545
UserCF,12,2,51,0.6997425368638881
UserCF,12,3,76,0.6796618134477068
UserCF,12,4,64,0.5847173361677206
UserCF,12,5,7,0.5590198443338695
UserCF,12,6,33,0.5027613569662214
UserCF,12,7,11,0.482711580606483
UserCF,12,8,83,0.45588335469001773
UserCF,12,9,39,0.39829321146201563
UserCF,12,10,12,0.3803091978683459
UserCF,13,1,68,0.8712018493483641
UserCF,13,2,17,0.798491517502615
UserCF,13,3,28,0.7183771155658244
UserCF,13,4,5,0.6917620641734827
UserCF,13,5,49,0.5587154613578064
UserCF,13,6,36,0.5574803020115618
UserCF,13,7,7,0.5358049912147604
UserCF,13,8,85,0.5034714759057217
UserCF,13,9,99,0.4839767438395598
UserCF,13,10,47,0.4777247539914057
UserCF,14,1,53,0.6929254887370834
UserCF,14,2,20,0.6333731196832444
UserCF,14,3,80,0.6011730903759197
UserCF,14,4,10,0.5790304791231441
UserCF,14,5,43,0.4852149972154916
UserCF,14,6,85,0.41828390091427087
UserCF,14,7,42,0.41384157367930646
UserCF,14,8,100,0.40741262947762064
UserCF,14,9,38,0.3964202543593505
UserCF,14,10,9,0.3284076456081619
UserCF,15,1,8,0.7821490923785253
UserCF,15,2,20,0.6740297717008821
UserCF,15,3,5,0.6681187492448467
UserCF,15,4,84,0.6168269715859778
UserCF,15,5,42,0.6057154798146386
UserCF,15,6,52,0.5946150694686437
UserCF,15,7,10,0.5701752514549031
UserCF,15,8,31,0.5166370153909121
UserCF,15,9,2,0.5139251514148534
UserCF,15,10,88,0.5018097412176261
UserCF,16,1,82,0.8077489501511795
UserCF,16,2,53,0.7739382955811143
UserCF,16,3,77,0.7321834263769859
UserCF,16,4,93,0.7113433258625742
UserCF,16,5,32,0.59162080634637
UserCF,16,6,44,0.5009523682484106
UserCF,16,7,65,0.4907749919157451
UserCF,16,8,61,0.488685488756437
UserCF,16,9,89,0.45896773284136666
UserCF,16,10,12,0.4556918770431065
UserCF,17,1,28,0.9053528474517256
UserCF,17,2,81,0.701525085438539
UserCF,17,3,55,0.6749122154514121
UserCF,17,4,34,0.6235392103888396
UserCF,17,5,40,0.5917457446215336
UserCF,17,6,21,0.5811276422276423
UserCF,17,7,41,0.5064858553005755
UserCF,17,8,46,0.5035149879915316
UserCF,17,9,10,0.4732280960579842
UserCF,17,10,6,0.46284370808061853
UserCF,18,1,36,0.7107427459803484
UserCF,18,2,51,0.6943915529234388
UserCF,18,3,84,0.611429864811623
UserCF,18,4,88,0.6066264599719402
UserCF,18,5,63,0.5120590667063158
UserCF,18,6,30,0.5053013445746597
UserCF,18,7,21,0.48023486171852403
UserCF,18,8,47,0.4751416766500006
UserCF,18,9,99,0.40779014581681794
UserCF,18,10,89,0.40732734322681796
UserCF,19,1,56,0.9685107535991098
UserCF,19,2,51,0.6984802333304406
UserCF,19,3,73,0.6469370914068248
UserCF,19,4,22,0.6048757871544874
UserCF,19,5,71,0.6037510445319182
UserCF,19,6,32,0.6023559467817717
UserCF,19,7,35,0.5961462347049741
UserCF,19,8,10,0.575077414626498
UserCF,19,9,63,0.4983107206831198
UserCF,19,10,31,0.4212701299718251
UserCF,20,1,100,0.8802638411401208
UserCF,20,2,87,0.8227099095051785
UserCF,20,3,59,0.7694613027246054
UserCF,20,4,17,0.7209122745792224
UserCF,20,5,89,0.7014022129606409
UserCF,20,6,78,0.6825734657638265
UserCF,20,7,36,0.5057792728525707
UserCF,20,8,32,0.48461889278613135
UserCF,20,9,80,0.48408413253313987
UserCF,20,10,69,0.458647340839765
ItemCF,1,1,45,0.9067347592087347
ItemCF,1,2,34,0.880662007210585
ItemCF,1,3,9,0.8778712538834733
ItemCF,1,4,88,0.871419240833856
ItemCF,1,5,12,0.8669514028420983
ItemCF,1,6,75,0.8633060666544193
ItemCF,1,7,51,0.8616577181693472
ItemCF,1,8,20,0.8608533840912242
ItemCF,1,9,23,0.85916679487377
ItemCF,1,10,66,0.8578063472446137
ItemCF,2,1,63,0.949079036179738
ItemCF,2,2,73,0.9466959075614799
ItemCF,2,3,3,0.9424335693895373
ItemCF,2,4,60,0.942296907326733
ItemCF,2,5,37,0.9410435823967007
ItemCF,2,6,34,0.9409586722259938
ItemCF,2,7,69,0.9401767488925933
ItemCF,2,8,80,0.9396916090482549
ItemCF,2,9,67,0.938568465508586
ItemCF,2,10,92,0.9380204903827346
ItemCF,3,1,12,0.9121343464361426
ItemCF,3,2,9,0.9030266179108638
ItemCF,3,3,10,0.9011194393680773
ItemCF,3,4,42,0.9001973042230612
ItemCF,3,5,26,0.8984482312657146
ItemCF,3,6,44,0.8969304582784136
ItemCF,3,7,93,0.8953073673832269
ItemCF,3,8,59,0.8952668695163738
ItemCF,3,9,67,0.8938291515829166
ItemCF,3,10,40,0.8870286677795827
ItemCF,4,1,40,0.9368151381146751
ItemCF,4,2,61,0.931457550582709
ItemCF,4,3,46,0.9301457990994315
ItemCF,4,4,26,0.9254559641480302
ItemCF,4,5,42,0.9254234403755743
ItemCF,4,6,96,0.9234075907946105
ItemCF,4,7,39,0.9197965199881367
ItemCF,4,8,23,0.9185945140508853
ItemCF,4,9,14,0.9183150042497327
ItemCF,4,10,29,0.918075938319705
ItemCF,5,1,66,0.9607421351743769
ItemCF,5,2,49,0.94707597485008
ItemCF,5,3,97,0.9470125988545418
ItemCF,5,4,14,0.9464341264676353
ItemCF,5,5,37,0.9427036305651553
ItemCF,5,6,48,0.942558924536941
ItemCF,5,7,6,0.9396128050683591
ItemCF,5,8,69,0.938705597057321
ItemCF,5,9,41,0.9373934236423038
ItemCF,5,10,2,0.9345866163164726
ItemCF,6,1,41,0.9323542546703683
ItemCF,6,2,66,0.9239376463438411
ItemCF,6,3,69,0.9210382210484032
ItemCF,6,4,31,0.9098511007059286
ItemCF,6,5,24,0.909076622484009
ItemCF,6,6,85,0.9063374822861648
ItemCF,6,7,19,0.9050894653646093
ItemCF,6,8,96,0.9048785688594735
ItemCF,6,9,45,0.9021628664476216
ItemCF,6,10,25,0.9016136725069502
ItemCF,7,1,18,0.9490223139293469
ItemCF,7,2,80,0.9481137053954807
ItemCF,7,3,45,0.94754795294424
ItemCF,7,4,23,0.9432154136523423
ItemCF,7,5,41,0.9408177738722228
ItemCF,7,6,6,0.9389437902433061
ItemCF,7,7,98,0.9376661193325789
ItemCF,7,8,59,0.9366568033288928
ItemCF,7,9,37,0.9356099917082443
ItemCF,7,10,14,0.9355784759551479
ItemCF,8,1,57,0.9235899061985651
ItemCF,8,2,18,0.9234543499360688
ItemCF,8,3,23,0.9228568702554607
ItemCF,8,4,94,0.9226742616041183
ItemCF,8,5,16,0.9178224187609959
ItemCF,8,6,39,0.915774604502151
ItemCF,8,7,3,0.915021471590246
ItemCF,8,8,33,0.9123927321709654
ItemCF,8,9,9,0.9113258253064657
ItemCF,8,10,87,0.9058611161148458
ItemCF,9,1,54,0.9519801656670519
ItemCF,9,2,51,0.9327600926202883
ItemCF,9,3,86,0.9324851144133085
ItemCF,9,4,24,0.932483065380902
ItemCF,9,5,16,0.9299573166213844
ItemCF,9,6,4,0.9299520013106132
ItemCF,9,7,26,0.9295591179182342
ItemCF,9,8,19,0.9291268271289402
ItemCF,9,9,46,0.9282505128808847
ItemCF,9,10,71,0.9277913071066661
ItemCF,10,1,96,0.884199537434843
ItemCF,10,2,35,0.8825551878597585
ItemCF,10,3,84,0.8798377517435262
ItemCF,10,4,32,0.8760399320661556
ItemCF,10,5,3,0.875096175565919
ItemCF,10,6,53,0.8731798678477201
ItemCF,10,7,21,0.8727773161983037
ItemCF,10,8,70,0.8727596916769761
ItemCF,10,9,45,0.8709258670968472
ItemCF,10,10,28,0.8692822134145561
ItemCF,11,1,45,0.9308462037876428
ItemCF,11,2,26,0.9297802968808716
ItemCF,11,3,3,0.9285544336496185
ItemCF,11,4,47,0.9283797185866566
ItemCF,11,5,95,0.927746826397577
ItemCF,11,6,32,0.9253974891076651
ItemCF,11,7,43,0.9192226569095
ItemCF,11,8,20,0.9191224498934871
ItemCF,11,9,54,0.9184726509173505
ItemCF,11,10,100,0.9176789380919828
ItemCF,12,1,40,0.8935183663534417
ItemCF,12,2,11,0.8854843952481958
ItemCF,12,3,12,0.8827237552869165
ItemCF,12,4,83,0.882373434025266
ItemCF,12,5,51,0.8810814141080582
ItemCF,12,6,21,0.8801149717743687
ItemCF,12,7,76,0.8794003049790148
ItemCF,12,8,7,0.8790953832746272
ItemCF,12,9,26,0.8780613501722533
ItemCF,12,10,56,0.8776488380254247
ItemCF,13,1,66,0.9359763411281673
ItemCF,13,2,7,0.9094525917798122
ItemCF,13,3,45,0.9079081568941542
ItemCF,13,4,49,0.9057581564499837
ItemCF,13,5,54,0.9045953006432227
ItemCF,13,6,33,0.9019156991640236
ItemCF,13,7,68,0.9016453127102518
ItemCF,13,8,32,0.8994293541828153
ItemCF,13,9,17,0.8980624491267163
ItemCF,13,10,5,0.897839073099718
ItemCF,14,1,9,0.8747642167910928
ItemCF,14,2,85,0.8707186022960649
ItemCF,14,3,24,0.8706865696727114
ItemCF,14,4,80,0.8706186256699225
ItemCF,14,5,47,0.8657151185492249
ItemCF,14,6,34,0.8648917367862238
ItemCF,14,7,61,0.8633905195771621
ItemCF,14,8,92,0.8623677537368467
ItemCF,14,9,10,0.8609467498546304
ItemCF,14,10,12,0.8604185189955126
ItemCF,15,1,2,0.9537741735203017
ItemCF,15,2,10,0.9381176460558144
ItemCF,15,3,66,0.934865405170001
ItemCF,15,4,31,0.934619551636317
ItemCF,15,5,42,0.9310554442063868
ItemCF,15,6,5,0.9278720566892577
ItemCF,15,7,52,0.9244060575148838
ItemCF,15,8,8,0.9235551996389765
ItemCF,15,9,30,0.9216861271291088
ItemCF,15,10,54,0.9203081091042468
ItemCF,16,1,82,0.9329460599541964
ItemCF,16,2,61,0.9322943178005139
ItemCF,16,3,24,0.930927686986011
ItemCF,16,4,57,0.9308966242083273
ItemCF,16,5,32,0.9295032124848893
ItemCF,16,6,26,0.9262779592695152
ItemCF,16,7,12,0.9259505382266295
ItemCF,16,8,93,0.9255549429689574
ItemCF,16,9,77,0.9244054485745432
ItemCF,16,10,53,0.9235221273604788
ItemCF,17,1,46,0.8796047710522894
ItemCF,17,2,10,0.8742310163664173
ItemCF,17,3,34,0.8723732617797552
ItemCF,17,4,41,0.869348646860043
ItemCF,17,5,21,0.8687360761124923
ItemCF,17,6,26,0.8675897914048433
ItemCF,17,7,81,0.8659715512164388
ItemCF,17,8,40,0.8654697079228311
ItemCF,17,9,12,0.8607159854742407
ItemCF,17,10,70,0.8529296376333019
ItemCF,18,1,45,0.9044094531216362
ItemCF,18,2,21,0.897409168826511
ItemCF,18,3,46,0.8969469073301776
ItemCF,18,4,84,0.89650027031074
ItemCF,18,5,30,0.894806415269603
ItemCF,18,6,3,0.89353331679243
ItemCF,18,7,39,0.8930436620847518
ItemCF,18,8,88,0.8898085711467414
ItemCF,18,9,26,0.8882540400837463
ItemCF,18,10,36,0.8880074446743104
ItemCF,19,1,22,0.9529309851816472
ItemCF,19,2,73,0.9519663980924555
ItemCF,19,3,24,0.949987879128062
ItemCF,19,4,10,0.947302796596172
ItemCF,19,5,45,0.9469868297834851
ItemCF,19,6,56,0.9440989075285182
ItemCF,19,7,7,0.9439047861565473
ItemCF,19,8,32,0.9434081063370153
ItemCF,19,9,2,0.941895442126449
ItemCF,19,10,35,0.9411231258508943
ItemCF,20,1,98,0.9529081296961273
ItemCF,20,2,4,0.9469465941510402
ItemCF,20,3,87,0.9453605951798978
ItemCF,20,4,73,0.9446651655928722
ItemCF,20,5,100,0.9441235396984304
ItemCF,20,6,9,0.9432118793992955
ItemCF,20,7,89,0.942380287533267
ItemCF,20,8,69,0.939174012983143
ItemCF,20,9,36,0.9388500375898792
ItemCF,20,10,18,0.938088843152579
